time:6.43970417976,checkpoint:0.000809192657471,restore:0
time:2.57667708397,checkpoint:0,restore:0.00026798248291
time:2.96452403069,checkpoint:0,restore:0.000255823135376
time:3.05634713173,checkpoint:0.00019383430481,restore:0.000288963317871
time:2.59864592552,checkpoint:0,restore:0.000288963317871
time:2.45461988449,checkpoint:0,restore:0.000312089920044
time:3.54559493065,checkpoint:0,restore:0.000279188156128
time:3.93689393997,checkpoint:0.000536203384399,restore:0.000256061553955
time:2.163834095,checkpoint:0,restore:0.000211954116821
time:3.57964515686,checkpoint:0,restore:0.000212907791138
time:3.1230700016,checkpoint:0,restore:0.000293016433716
time:3.94821405411,checkpoint:0,restore:0.000296831130981
time:4.36527013779,checkpoint:0.000564098358154,restore:0.000311851501465
time:1.04811477661,checkpoint:0,restore:0.000287055969238
time:2.51021504402,checkpoint:0,restore:0.000273942947388
time:2.97649908066,checkpoint:0,restore:0.000278234481812
time:3.64613485336,checkpoint:0,restore:0.000291109085083
time:3.23440408707,checkpoint:0,restore:0.000265836715698
time:3.9369020462,checkpoint:0.000181198120117,restore:0.000290870666504
time:3.90187883377,checkpoint:0,restore:0.000272989273071
time:3.19034695625,checkpoint:0,restore:0.00029182434082
time:3.90350103378,checkpoint:0.000365018844604,restore:0.000295877456665
time:2.54343891144,checkpoint:0,restore:0.000277996063232
time:3.65770483017,checkpoint:0,restore:0.000262022018433
time:4.07022190094,checkpoint:0.000192880630493,restore:0.000270128250122
time:3.97030591965,checkpoint:0,restore:0.000290870666504
time:3.71429491043,checkpoint:0.000196933746338,restore:0.000266075134277
time:3.15960907936,checkpoint:0.000191926956177,restore:0.000278949737549
time:4.23298788071,checkpoint:0,restore:0.000295877456665
time:3.06754899025,checkpoint:0.000182867050171,restore:0.000296115875244
time:2.44334101677,checkpoint:0,restore:0.000288963317871
time:2.89758205414,checkpoint:0,restore:0.000292062759399
time:3.59050989151,checkpoint:0.000210046768188,restore:0.000272989273071
time:3.16732001305,checkpoint:0.000192880630493,restore:0.000266075134277
time:2.25260400772,checkpoint:0,restore:0.000280141830444
time:3.24578809738,checkpoint:0.000293970108032,restore:0.00029182434082
time:3.2330391407,checkpoint:0,restore:0.000293970108032
time:3.76968479156,checkpoint:0.000189065933228,restore:0.000272035598755
time:3.60192704201,checkpoint:0,restore:0.000288963317871
time:3.46810293198,checkpoint:0,restore:0.000256061553955
time:3.37895488739,checkpoint:0.000208139419556,restore:0.000226020812988
time:1.38371300697,checkpoint:0,restore:0.000277042388916
time:4.15925812721,checkpoint:0.000180959701538,restore:0.000288963317871
time:3.14531588554,checkpoint:0.000197887420654,restore:0.000287055969238
time:2.59878015518,checkpoint:0,restore:0.000257968902588
time:4.60442113876,checkpoint:0.000195980072021,restore:0.000288009643555
time:3.04522013664,checkpoint:0,restore:0.000283002853394
time:3.43503308296,checkpoint:0.00020694732666,restore:0.000272989273071
time:3.22282195091,checkpoint:0,restore:0.000383853912354
time:3.71304583549,checkpoint:0.00039005279541,restore:0.000293016433716
time:1.70733094215,checkpoint:0,restore:0.000271081924438
time:2.39999389648,checkpoint:0,restore:0.000295162200928
time:4.32534694672,checkpoint:0.000188827514648,restore:0.000293970108032
time:3.72510695457,checkpoint:0,restore:0.000293016433716
time:4.21461391449,checkpoint:0.000411987304688,restore:0.000295162200928
time:3.25548291206,checkpoint:0,restore:0.000262022018433
time:4.08220005035,checkpoint:0,restore:0.000283002853394
time:3.7464530468,checkpoint:0,restore:0.000272989273071
time:3.75773715973,checkpoint:0,restore:0.000268936157227
time:5.53252196312,checkpoint:0.000191926956177,restore:0.000298976898193
time:4.9074177742,checkpoint:0.000395774841309,restore:0.000314950942993
time:3.80341601372,checkpoint:0,restore:0.000272989273071
time:4.7947909832,checkpoint:0.000208854675293,restore:0.000277042388916
time:3.86846804619,checkpoint:0,restore:0.000294923782349
time:4.5183300972,checkpoint:0,restore:0.000263929367065
