time:1.10765910149,checkpoint:0.223241090775,restore:0
time:1.70303297043,checkpoint:0,restore:0.886504888535
time:1.75353717804,checkpoint:0,restore:0.875827074051
time:1.87591600418,checkpoint:0,restore:1.01335811615
time:1.77349686623,checkpoint:0,restore:0.910065174103
time:1.71380496025,checkpoint:0,restore:0.873426914215
time:2.46413707733,checkpoint:0,restore:1.62051701546
time:1.7125120163,checkpoint:0,restore:0.870842933655
time:1.69921088219,checkpoint:0,restore:0.872931957245
time:1.84903216362,checkpoint:0,restore:1.01059603691
time:1.09820389748,checkpoint:0,restore:0.910743951797
time:1.78538703918,checkpoint:0,restore:0.949553012848
time:2.28618001938,checkpoint:0,restore:1.4386639595
time:1.72162604332,checkpoint:0,restore:0.897848129272
time:1.06752181053,checkpoint:0,restore:0.879607915878
time:1.78633618355,checkpoint:0,restore:0.959961891174
time:1.78205394745,checkpoint:0,restore:0.945097923279
time:1.82195591927,checkpoint:0,restore:0.988997936249
time:1.77568507195,checkpoint:0,restore:0.959301948547
time:1.70396995544,checkpoint:0,restore:0.889173984528
time:0.94425201416,checkpoint:0,restore:0.94424700737
time:1.77508091927,checkpoint:0,restore:0.95895409584
time:1.81505608559,checkpoint:0,restore:0.988701105118
time:1.79516386986,checkpoint:0,restore:0.988490819931
time:1.81870794296,checkpoint:0,restore:0.964958906174
time:2.2548520565,checkpoint:0,restore:1.43938493729
time:1.85294604301,checkpoint:0,restore:1.03274416924
time:1.86328196526,checkpoint:0,restore:1.01815009117
time:1.76463294029,checkpoint:0,restore:0.969702959061
time:1.84856820107,checkpoint:0,restore:1.04257202148
time:1.78030490875,checkpoint:0,restore:0.965124130249
time:1.86170601845,checkpoint:0,restore:0.97789812088
time:1.78604102135,checkpoint:0,restore:0.964137077332
time:1.82493019104,checkpoint:0,restore:0.949586868286
time:1.81110405922,checkpoint:0,restore:0.972664117813
time:1.9264318943,checkpoint:0,restore:1.04358482361
time:1.81976294518,checkpoint:0,restore:0.876793861389
time:1.96412491798,checkpoint:0,restore:1.09459519386
time:1.81661510468,checkpoint:0,restore:0.978317975998
time:1.7466378212,checkpoint:0,restore:0.877518892288
time:1.81339907646,checkpoint:0,restore:0.945628166199
time:1.80520200729,checkpoint:0,restore:0.957890987396
time:2.19242501259,checkpoint:0,restore:1.3241288662
time:1.82078695297,checkpoint:0,restore:0.979931116104
time:1.73377203941,checkpoint:0,restore:0.951529026031
time:1.83348298073,checkpoint:0,restore:0.97825217247
time:1.82357907295,checkpoint:0,restore:1.00383901596
time:1.74564099312,checkpoint:0,restore:0.950397014618
time:2.10572481155,checkpoint:0,restore:1.25430703163
time:1.16374492645,checkpoint:0,restore:0.974245071411
time:1.11735510826,checkpoint:0,restore:0.936093091965
time:1.71250200272,checkpoint:0,restore:0.878837108612
time:1.80658006668,checkpoint:0,restore:0.958837032318
time:1.85773301125,checkpoint:0,restore:1.04467582703
time:1.78639698029,checkpoint:0,restore:0.969372034073
time:1.82807612419,checkpoint:0,restore:0.97607088089
time:1.78547787666,checkpoint:0,restore:0.929270982742
time:1.71439194679,checkpoint:0,restore:0.904069900513
time:1.82279014587,checkpoint:0,restore:0.959728002548
time:1.81887602806,checkpoint:0,restore:0.963763952255
time:2.67124795914,checkpoint:0,restore:0.89429807663
time:1.34493994713,checkpoint:0,restore:1.15956997871
time:1.84815907478,checkpoint:0,restore:0.974399089813
time:1.74071502686,checkpoint:0,restore:0.930001020432
time:1.12726092339,checkpoint:0,restore:0.937227964401
time:1.78355789185,checkpoint:0,restore:0.924419164658
