time:0.691941022873,checkpoint:0.00032901763916,restore:0
time:0.491660118103,checkpoint:0,restore:0.000308990478516
time:0.700376987457,checkpoint:0,restore:0.000327110290527
time:0.678601026535,checkpoint:0,restore:0.00033712387085
time:0.703125,checkpoint:0,restore:0.00032901763916
time:0.663938045502,checkpoint:0,restore:0.000330924987793
time:0.676278829575,checkpoint:0,restore:0.000243902206421
time:0.655102014542,checkpoint:0,restore:0.000297069549561
time:0.702591896057,checkpoint:0,restore:0.000282764434814
time:0.667721986771,checkpoint:0,restore:0.000319004058838
time:0.687062978745,checkpoint:0,restore:0.000353097915649
time:0.664062023163,checkpoint:0,restore:0.000322103500366
time:0.632725000381,checkpoint:0,restore:0.000281095504761
time:0.763398885727,checkpoint:0,restore:0.000638008117676
time:0.70919084549,checkpoint:0,restore:0.000293970108032
time:0.627818107605,checkpoint:0,restore:0.000324010848999
time:0.742198944092,checkpoint:0,restore:0.000306129455566
time:0.709134101868,checkpoint:0,restore:0.000305891036987
time:0.715096950531,checkpoint:0,restore:0.000330924987793
time:0.668301105499,checkpoint:0,restore:0.000319004058838
time:0.726073980331,checkpoint:0,restore:0.000616073608398
time:0.686156988144,checkpoint:0,restore:0.000310182571411
time:0.709879875183,checkpoint:0,restore:0.000333070755005
time:0.678097009659,checkpoint:0,restore:0.000354051589966
time:0.706326961517,checkpoint:0,restore:0.000285863876343
time:0.724607944489,checkpoint:0,restore:0.000351905822754
time:0.67663192749,checkpoint:0,restore:0.000416994094849
time:0.69095993042,checkpoint:0,restore:0.000342130661011
time:0.683379888535,checkpoint:0,restore:0.000316143035889
time:0.660389184952,checkpoint:0,restore:0.000364065170288
time:0.625056028366,checkpoint:0,restore:0.000290155410767
time:0.62592291832,checkpoint:0,restore:0.000333070755005
time:0.63618016243,checkpoint:0,restore:0.000290870666504
time:0.646256923676,checkpoint:0,restore:0.000319957733154
time:0.696480035782,checkpoint:0,restore:0.000310182571411
time:0.696465015411,checkpoint:0,restore:0.000320911407471
time:0.680358886719,checkpoint:0,restore:0.000340938568115
time:0.686440944672,checkpoint:0,restore:0.000308036804199
time:0.673359870911,checkpoint:0,restore:0.000397920608521
time:0.704656124115,checkpoint:0,restore:0.000350952148438
