time:1.96868491173,checkpoint:0.904623985291,restore:0
time:0.913393974304,checkpoint:0,restore:0.882986068726
time:0.900276899338,checkpoint:0,restore:0.872916221619
time:1.27487301826,checkpoint:0.218943119049,restore:1.02042913437
time:1.00035095215,checkpoint:0,restore:0.972399950027
time:0.903217077255,checkpoint:0,restore:0.875446081161
time:1.05441021919,checkpoint:0,restore:1.02018785477
time:1.63884711266,checkpoint:0.656895875931,restore:0.937105894089
time:1.30143499374,checkpoint:0,restore:1.28015398979
time:1.08601498604,checkpoint:0,restore:1.04889512062
time:0.93409705162,checkpoint:0,restore:0.900856018066
time:1.06524801254,checkpoint:0,restore:1.0259001255
time:1.74333500862,checkpoint:0.655203104019,restore:1.04185199738
time:0.91537976265,checkpoint:0,restore:0.903154850006
time:1.01753902435,checkpoint:0,restore:0.991374969482
time:1.04795694351,checkpoint:0,restore:1.02185082436
time:1.01098608971,checkpoint:0,restore:0.978605031967
time:1.11421585083,checkpoint:0,restore:1.08228302002
time:1.83132100105,checkpoint:0.218981981277,restore:1.57253623009
time:0.932809829712,checkpoint:0,restore:0.901247024536
time:1.11819410324,checkpoint:0,restore:1.08317708969
time:1.40794610977,checkpoint:0.441469192505,restore:0.923977851868
time:0.901694059372,checkpoint:0,restore:0.876307964325
time:1.16915583611,checkpoint:0,restore:1.13385510445
time:1.25659513474,checkpoint:0.215349912643,restore:1.00169277191
time:0.97299695015,checkpoint:0,restore:0.938776016235
time:1.32902193069,checkpoint:0.218046188354,restore:1.0692820549
time:1.69009709358,checkpoint:0.220876932144,restore:1.43342804909
time:0.92692399025,checkpoint:0,restore:0.870370864868
time:1.53384113312,checkpoint:0.219598054886,restore:1.26921796799
time:0.933132886887,checkpoint:0,restore:0.905607938766
time:0.949275970459,checkpoint:0,restore:0.921571016312
time:1.34139204025,checkpoint:0.220229148865,restore:1.07584118843
time:1.33421111107,checkpoint:0.218754053116,restore:1.08258509636
time:1.02974915504,checkpoint:0,restore:1.00863099098
time:1.28111481667,checkpoint:0.21896481514,restore:1.02679896355
time:1.41112494469,checkpoint:0,restore:1.38306593895
time:1.28480911255,checkpoint:0.222236871719,restore:0.999440908432
time:0.988085985184,checkpoint:0,restore:0.950927972794
time:1.05021810532,checkpoint:0,restore:0.999656200409
time:1.27606296539,checkpoint:0.218538045883,restore:1.02075099945
time:0.918457984924,checkpoint:0,restore:0.90389084816
time:1.26179885864,checkpoint:0.219092845917,restore:1.00003504753
time:1.25073218346,checkpoint:0.216185092926,restore:0.998792886734
time:1.05466389656,checkpoint:0,restore:1.0071349144
time:1.81945085526,checkpoint:0.222127914429,restore:1.54538679123
time:1.02810502052,checkpoint:0,restore:0.986095905304
time:1.22582101822,checkpoint:0.218596220016,restore:0.972602128983
time:1.03818893433,checkpoint:0,restore:1.00592112541
time:1.53303694725,checkpoint:0.434103965759,restore:1.05024790764
time:1.01767015457,checkpoint:0,restore:0.998563051224
time:0.934154987335,checkpoint:0,restore:0.906573057175
time:1.32921099663,checkpoint:0.216647863388,restore:1.05484700203
time:1.00175690651,checkpoint:0,restore:0.962439775467
time:1.91137313843,checkpoint:0.434707164764,restore:1.43394899368
time:1.01932907104,checkpoint:0,restore:0.99116396904
time:0.984259843826,checkpoint:0,restore:0.941929101944
time:0.986567020416,checkpoint:0,restore:0.949990987778
time:1.03762817383,checkpoint:0,restore:1.00024390221
time:1.38313412666,checkpoint:0.218871116638,restore:1.02285790443
time:1.46528697014,checkpoint:0.439463853836,restore:0.976603031158
time:1.0321199894,checkpoint:0,restore:0.992734193802
time:1.226323843,checkpoint:0.221440076828,restore:0.94305896759
time:1.41120004654,checkpoint:0,restore:1.37653708458
time:0.993530988693,checkpoint:0,restore:0.946386098862
